 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Ano
Imuno: 074 Poliomielite, 100 Poliomielite 4 anos, 093 Poliomielite(1º ref)
Período:1994-2019
"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";23868;25553;28089;27372;31703;29458;30687;32260;30817;30004;30011;30979;30436;27794;28390;29203;26389;27986;27559;54231;53243;54809;49315;52458;46871;28509;887994
"12 Acre";3354;6286;8550;10176;9521;10469;14104;16969;19380;21043;18263;16242;15567;18825;17025;18696;17536;18717;16194;31229;22956;23936;22196;23710;21395;14903;437242
"13 Amazonas";14101;35530;52932;56596;58704;58301;73492;70224;73211;69813;65233;66858;67905;68361;65312;70763;69942;65908;69525;137351;139077;148083;116611;116518;111406;83321;2025078
"14 Roraima";3697;6645;6076;5831;7537;7421;13067;8215;8389;8780;8867;9727;8723;9103;9045;9989;9318;9203;8554;16232;18175;22843;19529;19958;18662;11388;284974
"15 Pará";65130;69625;75020;73342;126192;132469;171439;167304;187192;190842;178529;179784;174558;166888;165702;151337;147442;144821;139453;265330;211523;181931;152408;177350;163100;107265;3965976
"16 Amapá";-;6232;7842;10015;9218;10855;12979;22652;13382;14533;14525;14090;13882;14255;14666;18028;12974;12092;13248;27288;22889;25962;12493;15330;16658;12772;368860
"17 Tocantins";-;-;17739;26282;29039;29649;30017;31687;29059;28404;27376;28042;28344;27268;25666;26851;24213;24813;23101;45114;41647;41966;43396;41761;39460;27021;737915
"21 Maranhão";62646;65935;59027;80400;84862;90150;108016;135696;137927;143536;137068;147343;145927;150977;138573;138574;131755;127189;120534;244011;202117;203100;147666;160736;152001;99816;3415582
"22 Piauí";35045;43502;43783;37363;49862;57141;60347;62529;63056;62044;58033;58397;59557;57633;52682;52796;49400;50275;47951;91402;74986;65762;65610;73900;65874;45307;1484237
"23 Ceará";169581;172611;169939;179325;149625;175127;172936;175683;164480;158482;159091;155080;147449;145864;141080;138877;132742;131381;128487;263914;259573;273375;252328;241449;245300;146027;4649806
"24 Rio Grande do Norte";40568;42520;39534;42005;41323;45565;48976;48954;50274;50932;50134;51540;49540;47590;45992;46932;47268;47370;45953;87845;85370;84214;63254;64775;69917;38828;1377173
"25 Paraíba";-;31409;59584;59820;61521;67219;65759;68622;67009;65860;64143;67432;66900;65642;62870;66042;60581;61192;55258;122232;107578;97592;88215;90681;90475;56197;1769833
"26 Pernambuco";100764;190263;205333;194554;201163;196252;186398;171659;161937;172625;164302;166528;160132;158743;154858;154009;143483;155417;141918;274688;269955;291924;232286;236967;221691;136210;4844059
"27 Alagoas";-;37786;28625;33319;40546;57632;64177;57381;66037;68233;62209;62678;59742;54180;52764;58830;55727;50258;50038;97395;93801;91984;80571;87310;86112;55012;1552347
"28 Sergipe";-;36212;34910;37269;37673;41251;41485;40441;38291;39757;38439;36318;36879;38908;36606;37100;35044;36283;33984;71387;63510;61691;48810;53025;51598;34485;1061356
"29 Bahia";220990;138413;162088;173392;207439;217784;251056;287171;249000;248469;241737;250978;241648;232437;218189;222669;208801;211820;202999;401224;376048;364822;273554;295402;266408;164287;6328825
"31 Minas Gerais";-;-;-;243283;265305;303920;352352;316183;293564;284340;287340;292643;282084;273978;260047;265414;253366;260449;248823;525560;485548;470453;476930;456648;448381;291882;7638493
"32 Espírito Santo";42823;43632;48953;53174;66015;82737;63352;62695;63269;63836;59736;58792;57852;55593;54226;55226;53039;55711;54000;102380;101910;102100;94797;89663;89317;58141;1732969
"33 Rio de Janeiro";-;211655;182313;222365;233775;235078;243444;227932;259159;258845;248893;265565;227051;243055;233739;236915;231439;242886;209790;399782;410058;435798;360690;397546;337090;131226;6686089
"35 São Paulo";-;645143;674165;643143;691389;698365;702565;652826;597184;599889;606666;599478;602946;587266;581223;592976;578068;600168;577072;1196884;1138438;1160503;1010715;1059054;997030;618464;18411620
"41 Paraná";-;134528;176974;178827;178566;174272;187300;176895;169527;162644;159099;159890;158957;151523;145522;149707;148567;152898;144370;300806;280198;281073;259883;273615;257654;174271;4737566
"42 Santa Catarina";92140;103338;91504;88088;84974;89362;97263;93090;84956;84457;85707;85835;85546;85235;82542;85567;82456;84429;83417;165359;164720;166715;166232;163699;165013;111876;2773520
"43 Rio Grande do Sul";-;180572;152530;154346;149235;163749;172072;157621;145203;143492;145450;143738;140058;133253;126127;127331;123408;127058;119476;246508;244014;231591;249775;235454;227233;151131;4190425
"50 Mato Grosso do Sul";-;-;31546;33022;39241;41443;45601;44591;45659;42024;41345;41637;41335;40485;39933;42716;40118;38467;41181;93603;102505;93178;79822;77555;83054;49571;1269632
"51 Mato Grosso";33163;34032;40989;52233;55999;58201;66803;58840;56929;56309;56040;59210;54276;53211;52056;52185;48664;50028;48224;100558;97923;100394;95163;93654;86384;56029;1617497
"52 Goiás";43728;80490;78502;64129;87744;96888;101467;93959;93205;95869;97861;95199;96750;95673;91187;91999;87946;93671;88325;183265;172717;165013;156977;161637;148954;98880;2762035
"53 Distrito Federal";-;-;45843;48029;48687;50525;47765;45724;44532;44694;45945;44364;44907;44236;43812;45042;41380;37989;41142;95926;77076;64203;106268;77700;67030;47173;1299992
"Total";951598;2341912;2522390;2827700;3046858;3221283;3424919;3327803;3212628;3209756;3152042;3188367;3098951;3047976;2939834;2985774;2861066;2918479;2780576;5641504;5317555;5305015;4725494;4837555;4574068;2849992;88311095
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

