 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Ano
Imuno: 074 Poliomielite, 100 Poliomielite 4 anos
Período:1994-2019
"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";23868;25553;28089;27372;31703;29458;30687;32260;30817;30004;30011;30979;30436;27794;28390;29203;26389;27986;27559;27664;28654;28514;29049;29925;27048;15704;735116
"12 Acre";3354;6286;8550;10176;9521;10469;14104;16969;19380;21043;18263;16242;15567;18825;17025;18696;17536;18717;16194;16509;12585;14078;12167;12625;12207;8157;365245
"13 Amazonas";14101;35530;52932;56596;58704;58301;73492;70224;73211;69813;65233;66858;67905;68361;65312;70763;69942;65908;69525;73694;76499;82643;61556;61686;60279;43020;1632088
"14 Roraima";3697;6645;6076;5831;7537;7421;13067;8215;8389;8780;8867;9727;8723;9103;9045;9989;9318;9203;8554;8543;9490;12131;9820;9743;9113;6132;223159
"15 Pará";65130;69625;75020;73342;126192;132469;171439;167304;187192;190842;178529;179784;174558;166888;165702;151337;147442;144821;139453;137661;116248;100218;90485;96265;93902;59395;3401243
"16 Amapá";-;6232;7842;10015;9218;10855;12979;22652;13382;14533;14525;14090;13882;14255;14666;18028;12974;12092;13248;14101;12007;14489;7721;10376;10650;7219;312031
"17 Tocantins";-;-;17739;26282;29039;29649;30017;31687;29059;28404;27376;28042;28344;27268;25666;26851;24213;24813;23101;24278;22076;23434;21142;21433;21698;14700;606311
"21 Maranhão";62646;65935;59027;80400;84862;90150;108016;135696;137927;143536;137068;147343;145927;150977;138573;138574;131755;127189;120534;128088;108354;114681;81118;85507;87618;53887;2865388
"22 Piauí";35045;43502;43783;37363;49862;57141;60347;62529;63056;62044;58033;58397;59557;57633;52682;52796;49400;50275;47951;46683;39259;37555;33867;37222;39011;25066;1260059
"23 Ceará";169581;172611;169939;179325;149625;175127;172936;175683;164480;158482;159091;155080;147449;145864;141080;138877;132742;131381;128487;134770;131838;142023;138737;124715;137493;79577;3856993
"24 Rio Grande do Norte";40568;42520;39534;42005;41323;45565;48976;48954;50274;50932;50134;51540;49540;47590;45992;46932;47268;47370;45953;45139;44934;45611;33785;33238;40709;20461;1146847
"25 Paraíba";-;31409;59584;59820;61521;67219;65759;68622;67009;65860;64143;67432;66900;65642;62870;66042;60581;61192;55258;63581;56993;54630;49156;47292;51384;29645;1469544
"26 Pernambuco";100764;190263;205333;194554;201163;196252;186398;171659;161937;172625;164302;166528;160132;158743;154858;154009;143483;155417;141918;142876;143739;154539;129654;121397;123082;73680;4069305
"27 Alagoas";-;37786;28625;33319;40546;57632;64177;57381;66037;68233;62209;62678;59742;54180;52764;58830;55727;50258;50038;52971;48992;49472;41454;43092;46063;28558;1270764
"28 Sergipe";-;36212;34910;37269;37673;41251;41485;40441;38291;39757;38439;36318;36879;38908;36606;37100;35044;36283;33984;34720;32147;32066;26905;27182;28709;18118;876697
"29 Bahia";220990;138413;162088;173392;207439;217784;251056;287171;249000;248469;241737;250978;241648;232437;218189;222669;208801;211820;202999;206888;197115;193804;144177;157632;153825;89508;5330029
"31 Minas Gerais";-;-;-;243283;265305;303920;352352;316183;293564;284340;287340;292643;282084;273978;260047;265414;253366;260449;248823;268316;250745;251113;235424;230724;241624;150782;6111819
"32 Espírito Santo";42823;43632;48953;53174;66015;82737;63352;62695;63269;63836;59736;58792;57852;55593;54226;55226;53039;55711;54000;53171;53483;53760;50436;46056;48449;30255;1430271
"33 Rio de Janeiro";-;211655;182313;222365;233775;235078;243444;227932;259159;258845;248893;265565;227051;243055;233739;236915;231439;242886;209790;220297;224814;239545;210018;207922;190737;72492;5579724
"35 São Paulo";-;645143;674165;643143;691389;698365;702565;652826;597184;599889;606666;599478;602946;587266;581223;592976;578068;600168;577072;603850;590235;608995;524536;548879;549523;321480;14978030
"41 Paraná";-;134528;176974;178827;178566;174272;187300;176895;169527;162644;159099;159890;158957;151523;145522;149707;148567;152898;144370;160010;152038;151676;139974;143582;136074;91213;3884633
"42 Santa Catarina";92140;103338;91504;88088;84974;89362;97263;93090;84956;84457;85707;85835;85546;85235;82542;85567;82456;84429;83417;85543;86254;91982;85372;84098;87158;58460;2248773
"43 Rio Grande do Sul";-;180572;152530;154346;149235;163749;172072;157621;145203;143492;145450;143738;140058;133253;126127;127331;123408;127058;119476;138103;132583;126057;121051;123013;119513;79442;3444481
"50 Mato Grosso do Sul";-;-;31546;33022;39241;41443;45601;44591;45659;42024;41345;41637;41335;40485;39933;42716;40118;38467;41181;49720;54960;50903;41303;40208;40381;25425;993244
"51 Mato Grosso";33163;34032;40989;52233;55999;58201;66803;58840;56929;56309;56040;59210;54276;53211;52056;52185;48664;50028;48224;51754;52520;54467;51197;47823;48444;30205;1323802
"52 Goiás";43728;80490;78502;64129;87744;96888;101467;93959;93205;95869;97861;95199;96750;95673;91187;91999;87946;93671;88325;96587;91043;90823;81874;83591;81054;51895;2251459
"53 Distrito Federal";-;-;45843;48029;48687;50525;47765;45724;44532;44694;45945;44364;44907;44236;43812;45042;41380;37989;41142;48761;41037;33347;61099;39592;36156;24196;1048804
"Total";951598;2341912;2522390;2827700;3046858;3221283;3424919;3327803;3212628;3209756;3152042;3188367;3098951;3047976;2939834;2985774;2861066;2918479;2780576;2934278;2810642;2852556;2513077;2514818;2521904;1508672;72715859
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

